mol_index,smiles,exp_logp,rdkit_logp,mw,num_atoms,atom_contribs
2883,O=C(CSC1=NC2=C(SCC2)C(=O)N1c3ccccc3)Nc4ncc(s4)c5ccccc5,3.95,2.4298,478.6240000000001,32,"[-0.1526 -0.2783 -0.2035  0.6482  0.1893 -0.3239  0.136   0.1893  0.6482
 -0.2035 -0.0516 -0.8186  0.1788 -0.3239  0.2713  0.1581  0.1581  0.1581
  0.1581  0.1581 -0.5188  0.4619 -0.3239  0.1581  0.2713  0.6237  0.2713
  0.1581  0.1581  0.1581  0.1581  0.1581]"
1977,NCCCCN(Cc1nc2ccccc2[nH]1)C3CCCc4cccnc34,0.83,-0.018199999999999994,349.4820000000002,26,"[-1.019  -0.2035  0.1441  0.1441 -0.2035 -0.3187 -0.0516  0.136  -0.3239
  0.2955  0.1581  0.1581  0.1581  0.1581  0.2955 -0.3239  0.1193  0.1441
  0.1441 -0.0516  0.136   0.1581  0.1581  0.1581 -0.3239  0.136 ]"
1889,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12,2.34,2.7575200000000004,343.2170000000001,23,"[ 0.08452  0.136   -0.3239  -0.3239   0.136   -0.0516   0.1836  -0.2783
  0.136    0.1581   0.1581   0.1581   0.1581   0.245    0.6895   0.136
  0.1581   0.245    0.6895   0.1581   0.1581   0.2713  -0.3239 ]"
3850,Clc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(CC4CC4)C3)CC2)cc1Cl,2.54,0.4836999999999999,425.4040000000002,28,"[ 0.6895  0.245   0.1581  0.1581  0.4619 -0.5188 -0.2783  0.4833 -0.3187
 -0.2035 -0.2035 -0.3187 -0.2035  0.      0.1441  0.1441 -0.2035 -0.3187
 -0.2035  0.      0.1441  0.1441 -0.2035 -0.2035 -0.2035  0.1581  0.245
  0.6895]"
1021,Fc1ccc(cc1Cl)C2CNCC=CC2,1.33,1.4220000000000002,225.694,15,"[ 0.4202  0.      0.1581  0.1581  0.136   0.1581  0.245   0.6895  0.1193
 -0.2035 -0.7096 -0.2035  0.1551  0.1551  0.1441]"
675,C[C@H](NC1=NC(=O)C(C)(S1)C(F)(F)F)c2ccccc2F,3.1,1.8594999999999997,320.311,21,"[ 0.1441  0.1193 -0.7096 -0.2783  0.1836 -0.2783 -0.1526 -0.2051  0.1441
  0.6482 -0.2051  0.4202  0.4202  0.4202  0.136   0.1581  0.1581  0.1581
  0.1581  0.      0.4202]"
83,CNCCCC12CCC(c3ccccc13)c4ccccc24,0.89,1.2912000000000003,277.41100000000006,21,"[-0.2035 -0.7096 -0.2035  0.1441  0.1441 -0.0967  0.1441  0.1441  0.1193
  0.136   0.1581  0.1581  0.1581  0.1581  0.136   0.136   0.1581  0.1581
  0.1581  0.1581  0.136 ]"
3524,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,2.99,1.5436,328.4810000000001,23,"[-0.2035 -0.4195  0.5437  0.1581  0.1581  0.1893  0.6482  0.1893  0.1581
  0.1581  0.1581  0.1581  0.4619 -0.4458 -0.2035  0.      0.1441 -0.2035
 -0.3187 -0.2035 -0.2035  0.4619  0.1581]"
1894,F[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,0.66,-1.4561199999999999,476.51200000000034,35,"[ 0.4202  -0.2051  -0.2035  -0.3187  -0.2035  -0.0516  -0.3239  -0.8186
  0.1788   0.1581   0.1581   0.2955   0.1581   0.1581   0.136    0.1581
  0.2955   0.0017   0.01508 -0.2035   0.1441  -0.2051  -0.7096  -0.0516
  0.136    0.1581   0.1581   0.5437  -0.4195  -0.2035  -0.2783  -0.1526
 -0.5188   0.4619  -0.3239 ]"
1998,NC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,3.22,-0.15399999999999986,402.8630000000001,27,"[-1.019  -0.2783 -0.1526 -0.2035 -0.4458 -0.2783 -0.1526 -0.2051 -0.0516
  0.136   0.1581  0.1581  0.1581  0.1581  0.4619 -0.7096 -0.2783  0.1129
  0.136   0.1581  0.2955  0.1581  0.245   0.6895  0.6237  0.2955 -0.3239]"
